[2025-12-07 20:35:19] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:35:22] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:35:25] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:35:28] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:35:31] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:35:34] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:35:37] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:35:40] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:35:43] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:35:46] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:35:49] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:35:52] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:35:55] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:35:58] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:01] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:04] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:07] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:10] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:13] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:16] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:19] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:22] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:25] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:28] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:31] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:34] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:37] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:40] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:36:43] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:58:58] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:59:20] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:59:23] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:59:26] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:59:29] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:59:32] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:59:35] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:59:38] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:59:41] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:59:44] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:59:47] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:59:50] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:59:53] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:00:06] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:00:09] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:00:12] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:00:15] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:00:18] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:00:21] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:00:24] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:00:27] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:00:30] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:00:33] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:00:36] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:03] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:06] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:09] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:12] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:15] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:16] [ERROR] [defensiq.error] Filter loop error: [WinError 5] Access is denied. | {'exception': '[WinError 5] Access is denied.'}
[2025-12-07 21:02:16] [ERROR] [defensiq.error] Filter loop error: [WinError 5] Access is denied. | {'exception': '[WinError 5] Access is denied.'}
[2025-12-07 21:02:18] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:21] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:24] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:27] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:30] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:33] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:36] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:39] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:42] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:45] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:48] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:51] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:54] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:02:57] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:00] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:03] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:06] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:09] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:12] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:13] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:15] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:16] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:18] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:21] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:24] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:27] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:30] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:33] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:36] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:39] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:42] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:45] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:48] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:51] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:54] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:03:57] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:00] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:03] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:06] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:11] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:14] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:17] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:20] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:23] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:26] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:29] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:32] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:35] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:35] [ERROR] [defensiq.error] Filter loop error: [WinError 5] Access is denied. | {'exception': '[WinError 5] Access is denied.'}
[2025-12-07 21:04:38] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:41] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 21:04:44] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
